,Country,Country code,Job,Currency Notation,Avg. salary,Min. salary,Max. salary,Cities,Variation,Male percent,Female percent,Skills in demand,convert,Avg. salary (USD),Max. salary (USD),Min. salary (USD)
63,INDIA,IN,Financial_Analyst,₹,410835.0,219000.0,999000.0,"Gurgaon, Haryana",+11%,70.6%,29.3%,"['Forecasting', 'Financial Modeling', 'Financial Reporting', 'Data Analysis', 'Financial Analysis', 'Research Analysis', 'Accounts Payable', 'Microsoft Office', 'Accounting', 'Microsoft Excel']",0.014,5751.6900000000005,13986.0,3066.0
64,INDIA,IN,Financial_Analyst,₹,410835.0,219000.0,999000.0,"Mumbai, Maharashtra",+9%,70.6%,29.3%,"['Forecasting', 'Financial Modeling', 'Financial Reporting', 'Data Analysis', 'Financial Analysis', 'Research Analysis', 'Accounts Payable', 'Microsoft Office', 'Accounting', 'Microsoft Excel']",0.014,5751.6900000000005,13986.0,3066.0
65,INDIA,IN,Financial_Analyst,₹,410835.0,219000.0,999000.0,"New Delhi, Delhi",+9%,70.6%,29.3%,"['Forecasting', 'Financial Modeling', 'Financial Reporting', 'Data Analysis', 'Financial Analysis', 'Research Analysis', 'Accounts Payable', 'Microsoft Office', 'Accounting', 'Microsoft Excel']",0.014,5751.6900000000005,13986.0,3066.0
66,INDIA,IN,Financial_Analyst,₹,410835.0,219000.0,999000.0,"Chennai, Tamil Nadu",+1%,70.6%,29.3%,"['Forecasting', 'Financial Modeling', 'Financial Reporting', 'Data Analysis', 'Financial Analysis', 'Research Analysis', 'Accounts Payable', 'Microsoft Office', 'Accounting', 'Microsoft Excel']",0.014,5751.6900000000005,13986.0,3066.0
67,INDIA,IN,Financial_Analyst,₹,410835.0,219000.0,999000.0,"Bangalore, Karnataka",-0%,70.6%,29.3%,"['Forecasting', 'Financial Modeling', 'Financial Reporting', 'Data Analysis', 'Financial Analysis', 'Research Analysis', 'Accounts Payable', 'Microsoft Office', 'Accounting', 'Microsoft Excel']",0.014,5751.6900000000005,13986.0,3066.0
68,INDIA,IN,Financial_Analyst,₹,410835.0,219000.0,999000.0,"Hyderabad, Andhra Pradesh",-4%,70.6%,29.3%,"['Forecasting', 'Financial Modeling', 'Financial Reporting', 'Data Analysis', 'Financial Analysis', 'Research Analysis', 'Accounts Payable', 'Microsoft Office', 'Accounting', 'Microsoft Excel']",0.014,5751.6900000000005,13986.0,3066.0
69,INDIA,IN,Financial_Analyst,₹,410835.0,219000.0,999000.0,"Pune, Maharashtra",-14%,70.6%,29.3%,"['Forecasting', 'Financial Modeling', 'Financial Reporting', 'Data Analysis', 'Financial Analysis', 'Research Analysis', 'Accounts Payable', 'Microsoft Office', 'Accounting', 'Microsoft Excel']",0.014,5751.6900000000005,13986.0,3066.0
70,INDIA,IN,Design_Architect,₹,361159.0,159000.0,1000000.0,"Bangalore, Karnataka",+36%,51.3%,48.5%,"['Adobe InDesign', 'Microsoft Word', 'Graphic Design', 'Microsoft Office', 'Design', 'Autodesk 3ds Max', 'Autodesk AutoCAD', 'Adobe Photoshop', '3D Rendering', 'SketchUp']",0.014,5056.226,14000.0,2226.0
71,INDIA,IN,Design_Architect,₹,361159.0,159000.0,1000000.0,"Pune, Maharashtra",+15%,51.3%,48.5%,"['Adobe InDesign', 'Microsoft Word', 'Graphic Design', 'Microsoft Office', 'Design', 'Autodesk 3ds Max', 'Autodesk AutoCAD', 'Adobe Photoshop', '3D Rendering', 'SketchUp']",0.014,5056.226,14000.0,2226.0
72,INDIA,IN,Design_Architect,₹,361159.0,159000.0,1000000.0,"Delhi, Delhi",+15%,51.3%,48.5%,"['Adobe InDesign', 'Microsoft Word', 'Graphic Design', 'Microsoft Office', 'Design', 'Autodesk 3ds Max', 'Autodesk AutoCAD', 'Adobe Photoshop', '3D Rendering', 'SketchUp']",0.014,5056.226,14000.0,2226.0
73,INDIA,IN,Design_Architect,₹,361159.0,159000.0,1000000.0,"New Delhi, Delhi",+10%,51.3%,48.5%,"['Adobe InDesign', 'Microsoft Word', 'Graphic Design', 'Microsoft Office', 'Design', 'Autodesk 3ds Max', 'Autodesk AutoCAD', 'Adobe Photoshop', '3D Rendering', 'SketchUp']",0.014,5056.226,14000.0,2226.0
74,INDIA,IN,Design_Architect,₹,361159.0,159000.0,1000000.0,"Mumbai, Maharashtra",+1%,51.3%,48.5%,"['Adobe InDesign', 'Microsoft Word', 'Graphic Design', 'Microsoft Office', 'Design', 'Autodesk 3ds Max', 'Autodesk AutoCAD', 'Adobe Photoshop', '3D Rendering', 'SketchUp']",0.014,5056.226,14000.0,2226.0
